keys,pt,en,es,zh
MINION_KNIGHT_IRON_COLOSSUS,Colosso de Ferro,Iron Colossus,Coloso de Hierro,钢铁巨神
MINION_BANDIT_HEAVY_BRAWLER,Brutamontes Bandido,Bandit Bruiser,Bandido Forzudo,强盗恶霸
MINION_BANDIT_BLOOD_BUTCHER,Açougueiro Sanguinário,Blood Butcher,Carnicero Sanguinario,嗜血屠夫
MINION_BANDIT_IRON_MARAUDER,Saqueador de Aço,Steel Marauder,Saqueador de Acero,钢铁掠夺者
MINION_BANDIT_TOXIC_ENFORCER,Capataz Peçonhento,Venom Enforcer,Capataz Venenoso,剧毒工头
MINION_BANDIT_LIGHT_SCOUNDREL,Bandido Sorrateiro,Bandit Scoundrel,Bandido Furtivo,狡猾盗贼
MINION_BANDIT_SHADOW_ROGUE,Ladino das Sombras,Shadow Rogue,Pícaro de las Sombras,暗影潜行者
MINION_BANDIT_SAND_SKIRMISHER,Espadachim das Dunas,Dune Skirmisher,Espadachín de las Dunas,沙丘游击剑客
MINION_BANDIT_NIGHTBLADE,Lâmina Noturna,Nightblade Assassin,Hoja Nocturna,夜幕之刃
MINION_DOG_SHADOW,Cão Sombrio,Shadow Hound,Sabueso Sombrío,暗影猎犬
MINION_DOG_BLOOD,Cão Carmesim,Blood Hound,Sabueso Carmesí,嗜血猎犬
MINION_DOG_SPECTRAL,Cão Espectral,Spectral Hound,Sabueso Espectral,幽灵魔犬
TITLE_WIND_BLADE,[Lâmina de Vento],[Wind Blade],[Hoja de Viento],[风之刃]
TITLE_WIND_DAGGER,[Adaga de Vento],[Wind Dagger],[Daga de Viento],[风之匕首]
TUTORIAL_STRATEGIC_BATTLE,"Você terá 3 ataques (soco ou chute) e 6 defesas (pulo).

Após usar os 3 ataques terá que aguardar um instante até poder atacar novamente.

Após usar as 6 defesas também terá que aguardar um instante.

Você terá 3 vidas, caso morra, terá que voltar ao início do Stage.","You will have 3 attacks (punch or kick) and 6 defenses (jump).

After using 3 attacks you will have to wait a moment before attacking again.

After using 6 defenses you will also have to wait a moment.

You will have 3 lives, if you die, you will have to return to the beginning of the Stage.","Tendrás 3 ataques (puñetazo o patada) y 6 defensas (salto).

Tras usar los 3 ataques tendrás que esperar un momento para volver a atacar.

Tras usar las 6 defensas también tendrás que esperar un momento.

Tendrás 3 vidas, si mueres, tendrás que volver al inicio del Nivel.","你拥有3次攻击（出拳或飞踢）和6次防御（跳跃）机会。

用完3次攻击后需要稍作等待方可再次攻击。

用完6次防御后同样需要等待片刻。

你共有3条生命，如果阵亡则必须重返关卡起点。"
BOSS_INTRO_OLINDAO,OLINDÃO,OLINDÃO,OLINDÃO,奥林当
BOSS_INTRO_TRIPA,TRIPA,TRIPA,TRIPA,大肚
BOSS_INTRO_MAIOR,MAIOR,MAIOR,MAIOR,汉
PLATFORM_BLOOD,Sangue,Blood,Sangre,血量
PLATFORM_OBJECTIVE,Siga as ilhas até a bandeira e pule no poço,Follow the islands to the flag and jump into the well,Sigue las islas hasta la bandera y salta al pozo,沿着岛屿前往旗帜并跳入井中
PLATFORM_CONTROLS,WASD / SETAS: MOVER   ESPAÇO / A: PULAR   SHIFT: CORRER   BOTÃO DIREITO: CÂMERA,WASD / ARROWS: MOVE   SPACE / A: JUMP   SHIFT: RUN   RIGHT MOUSE: CAMERA,WASD / FLECHAS: MOVER   ESPACIO / A: SALTAR   SHIFT: CORRER   BOTÓN DERECHO: CÁMARA,WASD / 方向键：移动   空格 / A：跳跃   SHIFT：奔跑   鼠标右键：视角
PLATFORM_PUNCH,Soco,Punch,Puñetazo,拳击
PLATFORM_JUMP,Pulo,Jump,Salto,跳跃
PLATFORM_START_SIGN,Cacete nas Alturas,Sky-High Mayhem,Caos en las Alturas,高空大混战
PLATFORM_PAUSE_TITLE,Pausa nas Nuvens,Cloud Break,Pausa en las Nubes,云端小憩
PLATFORM_PAUSE_HINT,Respire fundo. As ilhas esperam por você!,Take a breath. The islands await!,Respira hondo. ¡Las islas te esperan!,深呼吸，岛屿在等着你！
PLATFORM_BACK_MENU,Voltar ao menu,Back to menu,Volver al menú,返回菜单
PLATFORM_JUMP_HINT,Pulo / Espaço,Jump / Space,Salto / Espacio,跳跃 / 空格
PLATFORM_RUN_HINT,Correr / Shift,Run / Shift,Correr / Shift,奔跑 / Shift
PLATFORM_INVINCIBLE_TITLE,INVENCÍVEL,INVINCIBLE,INVENCIBLE,无敌
PLATFORM_SPECIAL_PROMPT,ESPECIAL PRONTO [Y],SPECIAL READY [Y],ESPECIAL LISTO [Y],特殊技能就绪 [Y]
PLATFORM_SPECIAL_HINT,Ativar Especial / Y,Activate Special / Y,Activar Especial / Y,激活特技 / Y
PLATFORM_SHAKE_OFF,GIRE O ANALÓGICO OU MOUSE!,ROTATE ANALOG OR MOUSE!,¡GIRA EL JOYSTICK O RATÓN!,旋转摇杆或鼠标挣脱！
PLATFORM_HOLD_ON,AGUENTE FIRME!,HOLD ON!,¡RESISTE!,坚持住！
PLATFORM_BREAK_FREE,GIRE COM FORÇA PARA DERRUBAR!,SPIN HARD TO BREAK FREE!,¡GIRA CON FUERZA PARA SOLTARTE!,用力旋转挣脱！
PLATFORM_BOSS_NAME,Lips Gargaróker,Lips Gargaróker,Lips Gargaróker,Lips Gargaróker
PLATFORM_BOSS_HIT,DANO! LIPS GARGARÓKER (-25%),HIT! LIPS GARGARÓKER (-25%),¡GOLPE! LIPS GARGARÓKER (-25%),受到攻击！LIPS GARGARÓKER (-25%)
PLATFORM_BOSS_DEFEATED,LIPS GARGARÓKER DERROTADO!,LIPS GARGARÓKER DEFEATED!,¡LIPS GARGARÓKER DERROTADO!,LIPS GARGARÓKER 已被击败！
PLATFORM_BARRIER_SIGN,⛔ BLOQUEADO! DERROTE LIPS GARGARÓKER ⛔,⛔ BLOCKED! DEFEAT LIPS GARGARÓKER ⛔,⛔ ¡BLOQUEADO! DERROTA A LIPS GARGARÓKER ⛔,⛔ 已封锁！ 击败 LIPS GARGARÓKER ⛔
PLATFORM_PATH_OPEN,🔓 CAMINHO LIBERADO! A BANDEIRA FINAL ESTÁ ACESSÍVEL! 🔓,🔓 PATH OPEN! THE FINAL FLAG IS ACCESSIBLE! 🔓,🔓 ¡CAMINO LIBERADO! ¡LA BANDERA FINAL ESTÁ ACCESSIBLE! 🔓,🔓 通路开启！ 最终旗帜现已可以通行！ 🔓
SECO_INVADER_TITLE,Seco's Invader,Seco's Invader,Seco's Invader,Seco's Invader
SECO_INVADER_START,INÍCIO,START,INICIO,起点
SECO_INVADER_END,FIM,END,FIN,终点
SECO_INVADER_DASH,A / ESPAÇO • DASH,A / SPACE • DASH,A / ESPACIO • DASH,A / 空格 • 冲刺
SECO_INVADER_SPACE_KEY,ESPAÇO,SPACE,ESPACIO,空格
PLATFORM_TITLE_SUPER_MAYCON,Super Maycon Brother,Super Maycon Brother,Super Maycon Brother,超级麦肯兄弟
INTRO_SUB_1,No boteco de esquina cervejinha e conversa,At the corner bar having beers and a chat,En el bar de la esquina cervecitas y charla,在街角的小酒馆里喝着啤酒聊着天
INTRO_SUB_2,Música ambiente e uma galera gente da gente,Ambient music and good everyday folks around,Música de fondo y gente de los nuestros,放着背景音乐周围都是熟络的老朋友
INTRO_SUB_3,Cerveja com petisco o preferido que jamais vai dar erro,Beers with snacks the favorite treat that never fails,Cerveza con aperitivos el favorito que nunca falla,啤酒配上小吃绝不出错的招牌搭配
INTRO_SUB_4,Um pastel de primeira sempre o mais popular!,Top-notch pastels always the most popular!,¡Un pastel de primera siempre el más popular!,顶级的现炸馅饼永远是最受欢迎的人气王！
INTRO_SUB_5,Mas algo estava pra acontecer que eles não iam gostar...,But something was about to happen that they would not like...,Pero algo estaba a punto de pasar que no les iba a gustar...,但意想不到的噩耗即将发生……
INTRO_SUB_6,Veio a notícia que todo mundo odeia:,The news came that everybody hates to hear:,Llegó la noticia que todo el mundo odia:,传来了所有人最害怕听到的消息：
INTRO_SUB_7,O bandido perigoso estava solto da cadeia!,The dangerous outlaw broke out of prison!,¡El peligroso criminal andaba suelto de prisión!,那个极度危险的重刑犯越狱了！
INTRO_SUB_8,Raptava e matava sem dó... ele era o terror!,Kidnapping and striking without mercy... pure terror!,¡Secuestraba y atacaba sin piedad... era el terror!,绑架行凶心狠手辣... 他是全城的梦魇！
INTRO_SUB_9,Ele estava pronto pra atacar solto na região!,He was on the prowl loose in the area!,¡Estaba listo para atacar suelto por la zona!,他正在这片区域四处游荡随时准备下手！
INTRO_SUB_10,Maycon foi ao banheiro por um tempinho...,Maycon went to the restroom for a minute...,Maycon fue al baño por un momento...,麦肯离开座位去洗手间呆了一会儿……
INTRO_SUB_11,Mas quando voltou: cadê o Cabelo? Só havia uma carta no chão!,But when he got back: where was Cabelo? Just a letter on the floor!,¡Pero al volver: ¿dónde estaba Cabelo? ¡Solo una carta en el suelo!,可当他走回来时：卡贝洛不见了！地上只留着一封信！
INTRO_SUB_12,Nela estava escrito mas não dava pra entender nada!,Words were written on it but completely unreadable!,¡Había algo escrito pero no se entendía absolutamente nada!,上面写了字但字迹潦草得根本无法辨认！
INTRO_SUB_13,Maycon guardou a carta e saiu em busca do seu amigo pra valer!,Maycon kept the letter and set out to rescue his best friend!,¡Maycon guardó la carta y salió en busca de su amigo de verdad!,麦肯收好信件毅然踏上了营救挚友的冒险之旅！
INTRO_SUB_14,Agora Maycon... é com você! É com você!,Now Maycon... it is all up to you! It is up to you!,Ahora Maycon... ¡depende de ti! ¡Depende de ti!,现在麦肯……全靠你了！靠你了！
MENU_LOAD,Carregar,Load,Cargar,读取
MENU_SLOTS_TITLE,SLOTS DE MEMÓRIA,MEMORY SLOTS,RANURAS DE MEMORIA,存档栏位
MENU_SLOTS_DESC,Escolha um slot de save para carregar ou gerenciar:,Choose a save slot to load or manage:,Elige una ranura de guardado para cargar o gestionar:,选择一个存档栏位以读取或管理：
MENU_SLOT_1_LABEL,Slot 1,Slot 1,Ranura 1,栏位 1
MENU_SLOT_2_LABEL,Slot 2,Slot 2,Ranura 2,栏位 2
MENU_SLOT_3_LABEL,Slot 3,Slot 3,Ranura 3,栏位 3
MENU_SLOT_EMPTY,[ Slot Vazio ],[ Empty Slot ],[ Ranura Vacía ],[ 空存档 ]
MENU_SLOT_ACTION_TITLE,GERENCIAR SLOT,MANAGE SLOT,GESTIONAR RANURA,管理栏位
MENU_SLOT_LOAD_BTN,Carregar Jogo,Load Game,Cargar Juego,读取游戏
MENU_SLOT_DELETE_BTN,Apagar Save,Delete Save,Borrar Guardado,删除存档
MENU_BACK,Voltar,Back,Volver,返回
MENU_DELETE_FULLSCREEN_TITLE,TEM CERTEZA QUE QUER APAGAR?,ARE YOU SURE YOU WANT TO DELETE?,¿ESTÁS SEGURO DE QUE QUIERES BORRAR?,你确定要删除存档吗？
MENU_DELETE_FULLSCREEN_DESC,O progresso salvo neste slot será apagado permanentemente!,The progress saved in this slot will be permanently deleted!,¡El progreso guardado en esta ranura se borrará permanentemente!,此栏位中保存的游戏进度将被永久删除！
MENU_DELETE_COOLDOWN,Aguarde (%ds)...,Wait (%ds)...,Espere (%ds)...,请稍候 (%ds)...
MENU_DELETE_CONFIRM_NOW,SIM APAGAR DEFINITIVAMENTE,YES PERMANENTLY DELETE,SÍ BORRAR DEFINITIVAMENTE,是的彻底删除
MENU_DELETE_CANCEL,CANCELAR,CANCEL,CANCELAR,取消
FASE_NAME_FASE_1,Bela Aurora (Parte 1),Bela Aurora (Part 1),Bela Aurora (Parte 1),贝拉奥罗拉 (第1部分)
FASE_NAME_FASE_2,Bela Aurora (Parte 2),Bela Aurora (Part 2),Bela Aurora (Parte 2),贝拉奥罗拉 (第2部分)
FASE_NAME_FASE_3,Caminho do Castelo,Castle Path,Camino del Castillo,城堡小径
FASE_NAME_FASE_3D_PLATFORM,Super Maycon Brother,Super Maycon Brother,Super Maycon Brother,超级麦肯兄弟
FASE_NAME_FASE_4,Posto Estrela da Serra,Estrela da Serra Gas Station,Gasolinera Estrela da Serra,塞拉之星加油站
FASE_NAME_CASTELO_1,Castelo do Seco (Entrada),Seco Castle (Entrance),Castillo de Seco (Entrada),塞科城堡 (入口)
FASE_NAME_CASTELO_2,Castelo do Seco (Salão),Seco Castle (Hall),Castillo de Seco (Salón),塞科城堡 (大厅)
FASE_NAME_CASTELO_3,Castelo do Seco (Torre),Seco Castle (Tower),Castillo de Seco (Torre),塞科城堡 (塔楼)
FASE_NAME_OUTSIDE_1,Fora do Castelo (Parte 1),Outside Castle (Part 1),Fuera del Castillo (Parte 1),城堡外围 (第1部分)
FASE_NAME_OUTSIDE_2,Fora do Castelo (Parte 2),Outside Castle (Part 2),Fuera del Castillo (Parte 2),城堡外围 (第2部分)
FASE_NAME_OUTSIDE_3,Fora do Castelo (Parte 3),Outside Castle (Part 3),Fuera del Castillo (Parte 3),城堡外围 (第3部分)
MENU_SLOT_SAVED,Salvo,Saved,Guardado,已保存
MENU_SLOT_NO_DATA,Nenhum dado salvo neste slot.,No save data in this slot.,No hay datos guardados en esta ranura.,此栏位中没有存档数据。
MENU_SLOT_NEW_GAME,Novo Jogo neste Slot,New Game on this Slot,Nueva Partida en esta Ranura,在此栏位开始新游戏
MENU_SLOTS_NEWGAME_DESC,Escolha um slot de memória para salvar o jogo:,Choose a memory slot to save the game:,Elige una ranura de memoria para guardar la partida:,选择用于保存游戏的记忆栏位：
MENU_STAGE_LABEL,Fase,Stage,Fase,关卡
MENU_DATE_LABEL,Data,Date,Fecha,日期
MENU_HEALTH_LABEL,Vida,Health,Salud,生命
MENU_MODE_LABEL,Modo,Mode,Modo,模式
MENU_MODE_REALTIME,Tempo Real,Real-time,Tiempo Real,即时
MENU_MODE_STRATEGIC,Estratégico,Strategic,Estratégico,回合战略
MENU_OVERWRITE_TITLE,SOBRESCREVER SAVE?,OVERWRITE SAVE?,¿SOBREESCRIBIR GUARDADO?,覆盖存档？
MENU_OVERWRITE_DESC,"Este slot já possui um jogo salvo. Iniciar um Novo Jogo irá sobrescrever o progresso anterior.","This slot already has a saved game. Starting a New Game will overwrite previous progress.","Esta ranura ya tiene una partida guardada. Iniciar una Nueva Partida sobrescribirá el progreso anterior.","此栏位已有存档。开始新游戏将覆盖之前的进度。"
MENU_OVERWRITE_CONFIRM,SOBRESCREVER E INICIAR,OVERWRITE AND START,SOBREESCRIBIR E INICIAR,覆盖并开始
DUNGEON_MOVE_HINT,WASD / Analógico para mover • E / X para interagir,WASD / Stick to move • E / X to interact,WASD / Palanca para mover • E / X para interactuar,WASD / 摇杆移动 • E / X 互动
DUNGEON_OBJECTIVE_FLASHLIGHT,OBJETIVO: encontre a lanterna à sua frente,OBJECTIVE: find the flashlight ahead,OBJETIVO: encuentra la linterna al frente,目标：找到前方的手电筒
DUNGEON_OBJECTIVE_EXPLORE,OBJETIVO: atravesse a prisão e encontre a chave e a metralhadora,OBJECTIVE: cross the prison and find the key and machine gun,OBJETIVO: cruza la prisión y encuentra la llave y la ametralladora,目标：穿过监狱并找到钥匙和机枪
DUNGEON_OBJECTIVE_AXE,OBJETIVO: volte à cela do início e recupere o machado,OBJECTIVE: return to the first cell and recover the axe,OBJETIVO: vuelve a la celda inicial y recupera el hacha,目标：回到起始牢房取回斧头
DUNGEON_OBJECTIVE_ESCAPE,OBJETIVO: use o trampolim do início para voltar ao castelo,OBJECTIVE: use the entrance spring to return to the castle,OBJETIVO: usa el trampolín de la entrada para volver al castillo,目标：使用入口处的弹簧返回城堡
DUNGEON_FLASHLIGHT_ON,LANTERNA: LIGADA • Y / Botão direito,FLASHLIGHT: ON • Y / Right click,LINTERNA: ENCENDIDA • Y / Clic derecho,手电筒：开启 • Y / 鼠标右键
DUNGEON_FLASHLIGHT_OFF,LANTERNA: DESLIGADA • Y / Botão direito,FLASHLIGHT: OFF • Y / Right click,LINTERNA: APAGADA • Y / Clic derecho,手电筒：关闭 • Y / 鼠标右键
DUNGEON_WEAPON_READY,METRALHADORA • Segure tiro para disparar,MACHINE GUN • Hold fire to shoot,AMETRALLADORA • Mantén disparo para tirar,机枪 • 按住射击键开火
DUNGEON_PROMPT_FLASHLIGHT,[E / X] PEGAR LANTERNA,[E / X] TAKE FLASHLIGHT,[E / X] TOMAR LINTERNA,[E / X] 拿起手电筒
DUNGEON_PROMPT_GUN,[E / X] PEGAR METRALHADORA,[E / X] TAKE MACHINE GUN,[E / X] TOMAR AMETRALLADORA,[E / X] 拿起机枪
DUNGEON_PROMPT_KEY,[E / X] PEGAR CHAVE DA CELA,[E / X] TAKE CELL KEY,[E / X] TOMAR LLAVE DE LA CELDA,[E / X] 拿起牢房钥匙
DUNGEON_PROMPT_OPEN_CELL,[E / X] ABRIR A CELA DO MACHADO,[E / X] OPEN THE AXE CELL,[E / X] ABRIR LA CELDA DEL HACHA,[E / X] 打开斧头牢房
DUNGEON_CELL_LOCKED,A cela está trancada. A chave está no fim da prisão.,The cell is locked. The key is at the end of the prison.,La celda está cerrada. La llave está al final de la prisión.,牢房上锁了。钥匙在监狱尽头。
DUNGEON_PROMPT_AXE,[E / X] RECUPERAR O MACHADO,[E / X] RECOVER THE AXE,[E / X] RECUPERAR EL HACHA,[E / X] 取回斧头
DUNGEON_PROMPT_TRAMPOLINE,[E / X] PULAR E VOLTAR AO CASTELO,[E / X] JUMP BACK TO THE CASTLE,[E / X] SALTAR Y VOLVER AL CASTILLO,[E / X] 跳回城堡
DUNGEON_TRAMPOLINE_LOCKED,Você precisa recuperar o machado antes de subir.,You must recover the axe before climbing back.,Debes recuperar el hacha antes de subir.,返回前必须先取回斧头。
DUNGEON_OBJECTIVE_BLUE_KEY,OBJETIVO: siga a rota aberta e acione a alavanca da chave azul,OBJECTIVE: follow the open route and pull the blue-key lever,OBJETIVO: sigue la ruta abierta y acciona la palanca de la llave azul,目标：沿开放路线前进并拉下蓝钥匙拉杆
DUNGEON_OBJECTIVE_RED_KEY,OBJETIVO: use o portão azul e procure a chave vermelha,OBJECTIVE: pass the blue gate and find the red key,OBJETIVO: cruza el portón azul y busca la llave roja,目标：穿过蓝色大门并寻找红钥匙
DUNGEON_OBJECTIVE_GREEN_KEY,OBJETIVO: atravesse o portão vermelho e encontre a chave verde,OBJECTIVE: cross the red gate and find the green key,OBJETIVO: atraviesa el portón rojo y encuentra la llave verde,目标：穿过红色大门并找到绿钥匙
DUNGEON_OBJECTIVE_CELL_KEY,OBJETIVO: entre no caminho verde e encontre a chave da cela,OBJECTIVE: enter the green route and find the cell key,OBJETIVO: entra en el camino verde y encuentra la llave de la celda,目标：进入绿色路线并找到牢房钥匙
DUNGEON_PROMPT_LEVER,[E / X] PUXAR ALAVANCA — TODAS AS CELAS DESTA ALA SERÃO ABERTAS,[E / X] PULL LEVER — ALL CELLS IN THIS WING WILL OPEN,[E / X] TIRAR DE LA PALANCA — SE ABRIRÁN TODAS LAS CELDAS DE ESTA ALA,[E / X] 拉下拉杆——本区所有牢房都会打开
DUNGEON_PISTOL_READY,PISTOLA • Clique esquerdo / gatilho para atirar,PISTOL • Left click / trigger to fire,PISTOLA • Clic izquierdo / gatillo para disparar,手枪 • 左键 / 扳机射击
DUNGEON_MACHINEGUN_READY,METRALHADORA • Segure o disparo,MACHINE GUN • Hold to fire,AMETRALLADORA • Mantén para disparar,机枪 • 按住射击
DUNGEON_ITEM_FLASHLIGHT,Lanterna,Flashlight,Linterna,手电筒
DUNGEON_ITEM_BLUE_KEY,Azul,Blue,Azul,蓝钥匙
DUNGEON_ITEM_PISTOL,Pistola,Pistol,Pistola,手枪
DUNGEON_ITEM_RED_KEY,Vermelha,Red,Roja,红钥匙
DUNGEON_ITEM_GREEN_KEY,Verde,Green,Verde,绿钥匙
DUNGEON_ITEM_CELL_KEY,Cela,Cell,Celda,牢房钥匙
DUNGEON_ITEM_MACHINEGUN,Metralha,Machine gun,Ametralladora,机枪
DUNGEON_ITEM_AXE,Machado,Axe,Hacha,斧头
SETTINGS_DEBUG_DUNGEON_INVINCIBLE,Invencível no Calabouço,Invincible in the Dungeon,Invencible en la Mazmorra,地牢中无敌
SETTINGS_DEBUG_DUNGEON_INVINCIBLE_DESC,Impede que os infectados agarrem Maycon e causem o efeito de sangue nesta fase.,Prevents infected creatures from grabbing Maycon or triggering the blood effect in this stage.,Impide que los infectados agarren a Maycon o activen el efecto de sangre en esta fase.,防止感染者在本关抓住 Maycon 或触发血液效果。
FASE_NAME_CALABOUCO_TERROR,Calabouço do Castelo,Castle Dungeon,Calabozo del Castillo,城堡地牢
SETTINGS_DEBUG_RESET_DUNGEON,Resetar Eventos do Calabouço,Reset Dungeon Events,Reiniciar Eventos del Calabozo,重置地牢事件
SETTINGS_DEBUG_RESET_DUNGEON_DESC,Limpa as chaves e armas coletadas no calabouço e restaura o estado inicial.,Clears keys and weapons collected in the dungeon and restores its initial state.,Limpia las llaves y armas del calabozo y restaura su estado inicial.,清除地牢中收集的钥匙和武器并恢复初始状态。
SETTINGS_DEBUG_DUNGEON_SECTION,Eventos do Calabouço (3D Terror),Dungeon Events (3D Horror),Eventos del Calabozo (Terror 3D),地牢事件 (3D恐怖)
SETTINGS_DEBUG_STORY_SECTION,Outros Eventos do Jogo,Other Game Events,Otros Eventos del Juego,其他游戏事件
